id	cage_id	collection_timestamp	description	experimental_group	host_age	sex	strain_genotype	strain_vendor	treatment	faith_pd	shannon
10781.Cage16.male.WT27	Cage16	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	15.21864176	0.60426515
10781.Cage16.male.WT28	Cage16	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	14.92613603	0.614893546
10781.Cage16.male.WT29	Cage16	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	17.20756538	0.676725991
10781.Cage16.male.WT30	Cage16	2/12/16 9:00	WT	WT-none	17	male	WT	Jackson	WT-none	15.39422683	0.573898775
10781.Cage17.female.WT12	Cage17	2/12/16 9:00	WT	WT-none	22	female	WT	Jackson	WT-none	14.99922609	0.452417509
10781.Cage17.female.WT13	Cage17	2/12/16 9:00	WT	WT-none	22	female	WT	Jackson	WT-none	15.59371049	0.547455639
10781.Cage18.male.WT31	Cage18	2/12/16 9:00	WT	WT-none	19	male	WT	Jackson	WT-none	14.40286485	0.629761639
10781.Cage2.male.WT1	Cage2	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	15.1821727	0.497030838
10781.Cage2.male.WT2	Cage2	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	16.44776947	0.575151969
10781.Cage2.male.WT3	Cage2	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	13.75608529	0.452366096
10781.Cage2.male.WT4	Cage2	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	10.64560356	0.445512483
10781.Cage2.male.WT5	Cage2	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	17.03837007	0.528091055
10781.Cage20.male.Qa10	Cage20	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	male	Qa-1-/-	In-house	Qa-1-/- none	17.4930809	0.645807837
10781.Cage20.male.Qa11	Cage20	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	male	Qa-1-/-	In-house	Qa-1-/- none	14.16998321	0.571366676
10781.Cage20.male.Qa12	Cage20	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	male	Qa-1-/-	In-house	Qa-1-/- none	13.68665921	0.620814098
10781.Cage20.male.Qa9	Cage20	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	male	Qa-1-/-	In-house	Qa-1-/- none	16.37469589	0.612318182
10781.Cage21.male.Qa13	Cage21	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	24	male	Qa-1-/-	In-house	Qa-1-/- none	17.08274184	0.647356564
10781.Cage21.male.Qa14	Cage21	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	24	male	Qa-1-/-	In-house	Qa-1-/- none	18.2698323	0.708665429
10781.Cage22.female.Qa5	Cage22	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	female	Qa-1-/-	In-house	Qa-1-/- none	12.62446534	0.613188748
10781.Cage22.female.Qa6	Cage22	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	female	Qa-1-/-	In-house	Qa-1-/- none	15.86034613	0.612582533
10781.Cage22.female.Qa7	Cage22	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	female	Qa-1-/-	In-house	Qa-1-/- none	14.17633181	0.60978355
10781.Cage22.female.Qa8	Cage22	2/12/16 10:00	Qa-1-/-	Qa-1-/- none	20	female	Qa-1-/-	In-house	Qa-1-/- none	8.567069219	0.630177769
