plate #	biological group	sample name	replicate	unique sample name	DNA input (ng)	normalization factor	Cq	Log10 qPCR DNA quantity 	qPCR DNA quantity (ng)	normalized qPCR DNA quantity (ng)	Akkermancia Gene Copies	Akkermancia Gene Copies Corrected	Akkermancia Muciniphillia Cells	Akkermancia Muciniphillia Corrected Cell Count	qPCR Outlier
Plate5	Qa-1-/-	194	C	Qa-1-/-194_C	7.00	0.70	20.58	-2.22	0.006085	0.0086922	" 5,620,590.43 "	24630905.48	" 1,873,530.14 "	" 8,210,301.83 "	 No 
Plate5	Qa-1-/-	195	A	Qa-1-/-195_A	15.60	1.56	23.80	-3.10	0.000789	0.0005058	" 327,042.83 "	1433187.70	" 109,014.28 "	" 477,729.23 "	 No 
Plate5	Qa-1-/-	195	B	Qa-1-/-195_B	15.60	1.56	23.78	-3.10	0.000797	0.0005106	" 330,173.67 "	1446907.85	" 110,057.89 "	" 482,302.62 "	 No 
Plate5	Qa-1-/-	195	C	Qa-1-/-195_C	15.60	1.56	23.62	-3.05	0.000885	0.0005672	" 366,736.58 "	1607136.14	" 122,245.53 "	" 535,712.05 "	 No 
Plate5	Qa-1-/-	196	A	Qa-1-/-196_A	5.79	0.58	18.72	-1.70	0.019784	0.0341691	" 22,094,668.54 "	96824648.37	" 7,364,889.51 "	" 32,274,882.79 "	 No 
Plate5	Qa-1-/-	196	B	Qa-1-/-196_B	5.79	0.58	18.71	-1.70	0.019866	0.0343101	" 22,185,797.27 "	97223998.44	" 7,395,265.76 "	" 32,407,999.48 "	 No 
Plate5	Qa-1-/-	196	C	Qa-1-/-196_C	5.79	0.58	18.69	-1.70	0.020110	0.0347330	" 22,459,242.19 "	98422305.97	" 7,486,414.06 "	" 32,807,435.32 "	 No 
Plate5	Qa-1-/-	197	A	Qa-1-/-197_A	11.80	1.18	25.37	-3.54	0.000290	0.0002462	" 159,171.62 "	697531.91	" 53,057.21 "	" 232,510.64 "	 No 
Plate5	Qa-1-/-	197	B	Qa-1-/-197_B	11.80	1.18	25.28	-3.51	0.000308	0.0002606	" 168,514.04 "	738472.83	" 56,171.35 "	" 246,157.61 "	 No 
Plate5	Qa-1-/-	197	C	Qa-1-/-197_C	11.80	1.18	25.22	-3.49	0.000320	0.0002714	" 175,485.13 "	769021.98	" 58,495.04 "	" 256,340.66 "	 No 
Plate5	Qa-1-/-	198	A	Qa-1-/-198_A	7.60	0.76	31.58	-5.25	0.000006	0.0000075	" 4,839.92 "	21209.80	" 1,613.31 "	" 7,069.93 "	 No 
Plate5	Qa-1-/-	198	B	Qa-1-/-198_B	7.60	0.76	31.49	-5.22	0.000006	0.0000079	" 5,095.02 "	22327.73	" 1,698.34 "	" 7,442.58 "	 No 
Plate5	Qa-1-/-	198	C	Qa-1-/-198_C	7.60	0.76	31.53	-5.23	0.000006	0.0000077	" 4,973.18 "	21793.78	" 1,657.73 "	" 7,264.59 "	 No 
Plate5	Qa-1-/-	199	A	Qa-1-/-199_A	15.80	1.58	31.21	-5.14	0.000007	0.0000045	" 2,941.79 "	12891.68	 980.60 	" 4,297.23 "	 No 
Plate5	Qa-1-/-	199	B	Qa-1-/-199_B	15.80	1.58	31.24	-5.15	0.000007	0.0000044	" 2,873.71 "	12593.34	 957.90 	" 4,197.78 "	 No 
Plate5	Qa-1-/-	199	C	Qa-1-/-199_C	15.80	1.58	31.11	-5.12	0.000008	0.0000048	" 3,132.20 "	13726.11	" 1,044.07 "	" 4,575.37 "	 No 
Plate5	Qa-1-/-	200	A	Qa-1-/-200_A	4.19	0.42	NaN	0.00	0.000000	0.000000	 -   	0.00	 -   	 -   	 No 
